term_str,n,n_chars,p,s,i,h
bill,334,4,0.004662460215534089,214.47904191616766,7.744692869663446,0.03610932238633635
they,317,4,0.004425149366240438,225.98107255520503,7.820058131998091,0.03460492528677474
went,298,4,0.004159919593500474,240.38926174496646,7.909228641675337,0.032901755195980376
there,294,5,0.004104081746607851,243.65986394557822,7.928724817301134,0.03254013479656225
she,293,3,0.004090122284884695,244.49146757679182,7.93364030771525,0.03244955902284561
down,292,4,0.004076162823161539,245.32876712328763,7.938572603257481,0.032358914514366864
dont,278,4,0.0038807303590373556,257.68345323741005,8.009456089413991,0.03108253940556549
have,270,4,0.0037690546652521077,265.31851851851854,8.051581565086668,0.030346851060547773
one,259,3,0.0036155005862973924,276.5868725868726,8.111588874450945,0.029327454331380797
them,247,4,0.0034479870456195208,290.0242914979757,8.18002993055282,0.02820463723332607
mike,246,4,0.003434027583896365,291.2032520325203,8.185882656798258,0.02811054684198408
do,240,2,0.003350270813557429,298.48333333333335,8.22150656652898,0.02754427349331279
my,240,2,0.003350270813557429,298.48333333333335,8.22150656652898,0.02754427349331279
from,236,4,0.0032944329666648054,303.54237288135596,8.245754112775657,0.02716508418414003
go,236,2,0.0032944329666648054,303.54237288135596,8.245754112775657,0.02716508418414003
be,234,2,0.0032665140432184933,306.13675213675214,8.258032442554093,0.026974978942956862
good,232,4,0.0032385951197721817,308.7758620689655,8.270416167009927,0.0267845294369633
bull,232,4,0.0032385951197721817,308.7758620689655,8.270416167009927,0.0267845294369633
her,231,3,0.0032246356580490254,310.1125541125541,8.276648120721442,0.026689174659202817
like,223,4,0.003112959964263778,321.23766816143495,8.327497262217193,0.025923165579798343
as,219,2,0.0030571221173711543,327.10502283105023,8.353610102536324,0.025538006204358914
about,218,5,0.003043162655647998,328.60550458715596,8.360212837360573,0.025441487499924684
so,218,2,0.003043162655647998,328.60550458715596,8.360212837360573,0.025441487499924684
what,216,4,0.0030152437322016864,331.64814814814815,8.37350965997403,0.025248172518766966
is,215,2,0.0030012842704785305,333.1906976744186,8.380204312548038,0.025151375386646774
cohn,215,4,0.0030012842704785305,333.1906976744186,8.380204312548038,0.025151375386646774
know,212,4,0.0029594058853090626,337.90566037735846,8.400476707574299,0.02486042020779708
did,208,3,0.0029035680384164385,344.4038461538462,8.427957443996407,0.024471147863521867
get,204,3,0.0028477301915238147,351.15686274509807,8.455971820166003,0.02408032625096131
no,201,2,0.002805851806354347,356.39800995024876,8.47734547095857,0.023786175102778945
then,193,4,0.0026941761125690994,371.17098445595855,8.535940124869418,0.02299732598274328
going,193,5,0.0026941761125690994,371.17098445595855,8.535940124869418,0.02299732598274328
back,191,4,0.0026662571891227873,375.05759162303667,8.55096833410175,0.022799080794760094
came,188,4,0.0026243788039533194,381.0425531914894,8.57380831045986,0.022500920799129676
would,188,5,0.0026243788039533194,381.0425531914894,8.57380831045986,0.022500920799129676
but,188,3,0.0026243788039533194,381.0425531914894,8.57380831045986,0.022500920799129676
very,172,4,0.002401027416382824,416.4883720930233,8.7021324074354,0.020894058491245864
come,170,4,0.0023731084929365124,421.38823529411764,8.719006225999797,0.020691147724886446
see,164,3,0.0022893517225975766,436.8048780487805,8.770845157519414,0.020079549470003684
into,163,4,0.002275392260874421,439.48466257668707,8.77966900790642,0.019977190913629272
got,162,3,0.0022614327991512645,442.1975308641976,8.788547159252873,0.01987470880282212
im,156,2,0.002177676028812329,459.2051282051282,8.842994943275249,0.019257178110879153
just,155,4,0.002163716567089173,462.1677419354839,8.852272756863261,0.019153809220417185
when,154,4,0.002149757105366017,465.16883116883116,8.861610621442598,0.01905031039843319
been,153,4,0.0021357976436428613,468.2091503267973,8.871009319444846,0.018946680801204166
over,149,4,0.002079959796750237,480.7785234899329,8.909228641675337,0.018530837394740426
its,147,3,0.0020520408733039255,487.31972789115645,8.928724817301134,0.018322108271585053
some,147,4,0.0020520408733039255,487.31972789115645,8.928724817301134,0.018322108271585053
asked,147,5,0.0020520408733039255,487.31972789115645,8.928724817301134,0.018322108271585053
this,144,4,0.0020101624881344576,497.47222222222223,8.958472160695186,0.018007984688426303
well,139,4,0.0019403651795186778,515.3669064748201,9.009456089413991,0.017481634882301422
looked,138,6,0.0019264057177955218,519.1014492753624,9.01987270535933,0.017375934353391975
us,130,2,0.001814730024010274,551.0461538461539,9.106029349109043,0.016524984859346916
could,129,5,0.0018007705622871183,555.3178294573643,9.117169906714244,0.016417931179381003
right,129,5,0.0018007705622871183,555.3178294573643,9.117169906714244,0.016417931179381003
time,126,4,0.0017588921771176504,568.5396825396825,9.151117238637582,0.01609582852292612
any,125,3,0.0017449327153944943,573.088,9.16261287747541,0.01598814296840173
people,124,6,0.0017309732536713385,577.7096774193548,9.174200851750623,0.015880296298189142
through,122,7,0.0017030543302250264,587.1803278688525,9.197659824574613,0.01566411439217855
jake,122,4,0.0017030543302250264,587.1803278688525,9.197659824574613,0.01566411439217855
want,122,4,0.0017030543302250264,587.1803278688525,9.197659824574613,0.01566411439217855
how,120,3,0.0016751354067787146,596.9666666666667,9.22150656652898,0.01544727215343511
an,119,2,0.0016611759450555587,601.9831932773109,9.233579398829555,0.015338599984096224
say,119,3,0.0016611759450555587,601.9831932773109,9.233579398829555,0.015338599984096224
off,118,3,0.0016472164833324027,607.0847457627119,9.245754112775657,0.015229758575402416
oh,118,2,0.0016472164833324027,607.0847457627119,9.245754112775657,0.015229758575402416
think,116,5,0.0016192975598860908,617.551724137931,9.270416167009927,0.015011562278367741
yes,115,3,0.0016053380981629348,622.9217391304348,9.282907111193124,0.014902204447305953
two,112,3,0.001563459712993467,639.6071428571429,9.321042240079894,0.014573074025475292
little,108,6,0.0015076218661008432,663.2962962962963,9.37350965997403,0.014131708125484326
hes,108,3,0.0015076218661008432,663.2962962962963,9.37350965997403,0.014131708125484326
too,108,3,0.0015076218661008432,663.2962962962963,9.37350965997403,0.014131708125484326
here,108,4,0.0015076218661008432,663.2962962962963,9.37350965997403,0.014131708125484326
by,107,2,0.0014936624043776871,669.4953271028038,9.386930175736351,0.014020904696015824
put,107,3,0.0014936624043776871,669.4953271028038,9.386930175736351,0.014020904696015824
where,107,5,0.0014936624043776871,669.4953271028038,9.386930175736351,0.014020904696015824
robert,106,6,0.0014797029426545313,675.8113207547169,9.400476707574299,0.01390991304655307
never,105,5,0.0014657434809313753,682.2476190476191,9.414151644471376,0.013798731401383305
now,103,3,0.0014378245574850634,695.495145631068,9.44189663495428,0.013575790850972845
romero,102,6,0.0014238650957619074,702.3137254901961,9.455971820166003,0.013464028221242564
around,102,6,0.0014238650957619074,702.3137254901961,9.455971820166003,0.013464028221242564
their,102,5,0.0014238650957619074,702.3137254901961,9.455971820166003,0.013464028221242564
room,96,4,0.0013401083254229718,746.2083333333333,9.543434661416342,0.012789236242894199
if,96,2,0.0013401083254229718,746.2083333333333,9.543434661416342,0.012789236242894199
street,96,6,0.0013401083254229718,746.2083333333333,9.543434661416342,0.012789236242894199
wine,95,4,0.0013261488636998157,754.0631578947368,9.55854155380655,0.012676049020208028
table,94,5,0.0013121894019766597,762.0851063829788,9.57380831045986,0.012562649801541498
night,93,5,0.0012982299402535039,770.2795698924731,9.589238351029467,0.012449036331533592
are,93,3,0.0012982299402535039,770.2795698924731,9.589238351029467,0.012449036331533592
way,90,3,0.001256351555084036,795.9555555555555,9.636544065807824,0.012106887122713498
hell,90,4,0.001256351555084036,795.9555555555555,9.636544065807824,0.012106887122713498
drink,87,5,0.001214473169914568,823.4022988505748,9.68545366628877,0.011762723616158398
took,85,4,0.0011865542464682562,842.7764705882353,9.719006225999797,0.01153212810891148
tell,84,4,0.0011725947847451002,852.8095238095239,9.736079739358738,0.01141647632623449
after,84,5,0.0011725947847451002,852.8095238095239,9.736079739358738,0.01141647632623449
saw,83,3,0.0011586353230219444,863.0843373493975,9.753357730790574,0.011300584784963114
started,83,7,0.0011586353230219444,863.0843373493975,9.753357730790574,0.011300584784963114
wanted,82,6,0.0011446758612987883,873.609756097561,9.770845157519414,0.01118445059630063
who,81,3,0.0011307163995756323,884.3950617283951,9.788547159252873,0.011068070800986693
other,81,5,0.0011307163995756323,884.3950617283951,9.788547159252873,0.011068070800986693
why,81,3,0.0011307163995756323,884.3950617283951,9.788547159252873,0.011068070800986693
bulls,81,5,0.0011307163995756323,884.3950617283951,9.788547159252873,0.011068070800986693
crowd,80,5,0.0011167569378524765,895.4499999999999,9.806469067250136,0.010951442366687292
again,80,5,0.0011167569378524765,895.4499999999999,9.806469067250136,0.010951442366687292
long,80,4,0.0011167569378524765,895.4499999999999,9.806469067250136,0.010951442366687292
another,79,7,0.0011027974761293204,906.7848101265823,9.824616413960396,0.010834562185254219
look,79,4,0.0011027974761293204,906.7848101265823,9.824616413960396,0.010834562185254219
hotel,78,5,0.0010888380144061646,918.4102564102564,9.842994943275249,0.01071742706984574
youre,78,5,0.0010888380144061646,918.4102564102564,9.842994943275249,0.01071742706984574
away,78,4,0.0010888380144061646,918.4102564102564,9.842994943275249,0.01071742706984574
town,77,4,0.0010748785526830085,930.3376623376623,9.861610621442598,0.010600033751899603
only,76,4,0.0010609190909598525,942.5789473684212,9.880469648693913,0.01048237887794876
sat,76,3,0.0010609190909598525,942.5789473684212,9.880469648693913,0.01048237887794876
looking,76,7,0.0010609190909598525,942.5789473684212,9.880469648693913,0.01048237887794876
ive,75,3,0.0010469596292366967,955.1466666666666,9.899578471641618,0.010364459006269493
thats,75,5,0.0010469596292366967,955.1466666666666,9.899578471641618,0.010364459006269493
something,75,9,0.0010469596292366967,955.1466666666666,9.899578471641618,0.010364459006269493
big,75,3,0.0010469596292366967,955.1466666666666,9.899578471641618,0.010364459006269493
walked,74,6,0.0010330001675135406,968.0540540540541,9.918943796508549,0.010246270603350725
cant,74,4,0.0010330001675135406,968.0540540540541,9.918943796508549,0.010246270603350725
turned,73,6,0.0010190407057903848,981.3150684931505,9.93857260325748,0.010127810040172484
man,72,3,0.0010050812440672288,994.9444444444445,9.958472160695186,0.010009073588280381
ill,72,3,0.0010050812440672288,994.9444444444445,9.958472160695186,0.010009073588280381
your,71,4,0.0009911217823440727,1008.9577464788733,9.978650042632816,0.009890057415641994
along,68,5,0.000949243397174605,1053.4705882352941,10.040934320887159,0.009531290605566012
always,68,6,0.000949243397174605,1053.4705882352941,10.040934320887159,0.009531290605566012
lets,68,4,0.000949243397174605,1053.4705882352941,10.040934320887159,0.009531290605566012
made,68,4,0.000949243397174605,1053.4705882352941,10.040934320887159,0.009531290605566012
door,67,4,0.000935283935451449,1069.1940298507463,10.062307971679726,0.009411114999477102
make,67,4,0.000935283935451449,1069.1940298507463,10.062307971679726,0.009411114999477102
much,66,4,0.0009213244737282931,1085.3939393939393,10.084003042779045,0.00929063879646291
three,66,5,0.0009213244737282931,1085.3939393939393,10.084003042779045,0.00929063879646291
or,66,2,0.0009213244737282931,1085.3939393939393,10.084003042779045,0.00929063879646291
count,65,5,0.000907365012005137,1102.0923076923077,10.106029349109043,0.009169857441678595
stairs,65,6,0.000907365012005137,1102.0923076923077,10.106029349109043,0.009169857441678595
road,65,4,0.000907365012005137,1102.0923076923077,10.106029349109043,0.009169857441678595
anything,65,8,0.000907365012005137,1102.0923076923077,10.106029349109043,0.009169857441678595
face,65,4,0.000907365012005137,1102.0923076923077,10.106029349109043,0.009169857441678595
square,65,6,0.000907365012005137,1102.0923076923077,10.106029349109043,0.009169857441678595
more,64,4,0.0008934055502819811,1119.3125,10.128397162137498,0.009048766240113908
nice,64,4,0.0008934055502819811,1119.3125,10.128397162137498,0.009048766240113908
café,64,4,0.0008934055502819811,1119.3125,10.128397162137498,0.009048766240113908
head,63,4,0.0008794460885588252,1137.079365079365,10.151117238637582,0.008927360350021884
didnt,63,5,0.0008794460885588252,1137.079365079365,10.151117238637582,0.008927360350021884
old,62,3,0.0008654866268356693,1155.4193548387095,10.174200851750623,0.00880563477593024
morning,62,7,0.0008654866268356693,1155.4193548387095,10.174200851750623,0.00880563477593024
stood,62,5,0.0008654866268356693,1155.4193548387095,10.174200851750623,0.00880563477593024
really,62,6,0.0008654866268356693,1155.4193548387095,10.174200851750623,0.00880563477593024
take,61,4,0.0008515271651125132,1174.360655737705,10.197659824574613,0.008683584361201788
under,60,5,0.0008375677033893573,1193.9333333333334,10.22150656652898,0.008561203780106913
must,60,4,0.0008375677033893573,1193.9333333333334,10.22150656652898,0.008561203780106913
stopped,58,7,0.0008096487799430454,1235.103448275862,10.270416167009927,0.008315429919126916
across,58,6,0.0008096487799430454,1235.103448275862,10.270416167009927,0.008315429919126916
will,58,4,0.0008096487799430454,1235.103448275862,10.270416167009927,0.008315429919126916
hand,58,4,0.0008096487799430454,1235.103448275862,10.270416167009927,0.008315429919126916
rather,57,6,0.0007956893182198895,1256.7719298245613,10.295507147972756,0.008192025063298441
bed,57,3,0.0007956893182198895,1256.7719298245613,10.295507147972756,0.008192025063298441
side,56,4,0.0007817298564967335,1279.2142857142858,10.321042240079894,0.00806826686923438
against,56,7,0.0007817298564967335,1279.2142857142858,10.321042240079894,0.00806826686923438
though,56,6,0.0007817298564967335,1279.2142857142858,10.321042240079894,0.00806826686923438
day,56,3,0.0007817298564967335,1279.2142857142858,10.321042240079894,0.00806826686923438
first,55,5,0.0007677703947735775,1302.4727272727273,10.347037448612838,0.007944149026658468
bottle,55,6,0.0007677703947735775,1302.4727272727273,10.347037448612838,0.007944149026658468
trees,55,5,0.0007677703947735775,1302.4727272727273,10.347037448612838,0.007944149026658468
white,54,5,0.0007538109330504216,1326.5925925925926,10.37350965997403,0.007819664995792584
ever,54,4,0.0007538109330504216,1326.5925925925926,10.37350965997403,0.007819664995792584
feel,54,4,0.0007538109330504216,1326.5925925925926,10.37350965997403,0.007819664995792584
car,53,3,0.0007398514713272657,1351.6226415094338,10.400476707574299,0.007694807994603801
money,53,5,0.0007398514713272657,1351.6226415094338,10.400476707574299,0.007694807994603801
dark,52,4,0.0007258920096041096,1377.6153846153848,10.427957443996407,0.007569570985088686
fine,52,4,0.0007258920096041096,1377.6153846153848,10.427957443996407,0.007569570985088686
while,51,5,0.0007119325478809537,1404.6274509803923,10.455971820166003,0.007443946658502235
ring,51,4,0.0007119325478809537,1404.6274509803923,10.455971820166003,0.007443946658502235
montoya,51,7,0.0007119325478809537,1404.6274509803923,10.455971820166003,0.007443946658502235
read,50,4,0.0006979730861577978,1432.72,10.484540972362774,0.007317927419427923
fight,50,5,0.0006979730861577978,1432.72,10.484540972362774,0.007317927419427923
drunk,50,5,0.0006979730861577978,1432.72,10.484540972362774,0.007317927419427923
thing,49,5,0.0006840136244346418,1461.9591836734694,10.51368731802229,0.007191505368572955
left,49,4,0.0006840136244346418,1461.9591836734694,10.51368731802229,0.007191505368572955
felt,49,4,0.0006840136244346418,1461.9591836734694,10.51368731802229,0.007191505368572955
thought,49,7,0.0006840136244346418,1461.9591836734694,10.51368731802229,0.007191505368572955
damned,48,6,0.0006700541627114859,1492.4166666666665,10.543434661416342,0.007064672284158586
sitting,48,7,0.0006700541627114859,1492.4166666666665,10.543434661416342,0.007064672284158586
can,48,3,0.0006700541627114859,1492.4166666666665,10.543434661416342,0.007064672284158586
talk,48,4,0.0006700541627114859,1492.4166666666665,10.543434661416342,0.007064672284158586
outside,48,7,0.0006700541627114859,1492.4166666666665,10.543434661416342,0.007064672284158586
give,48,4,0.0006700541627114859,1492.4166666666665,10.543434661416342,0.007064672284158586
fiesta,47,6,0.0006560947009883299,1524.1702127659576,10.57380831045986,0.006937419601759079
hot,47,3,0.0006560947009883299,1524.1702127659576,10.57380831045986,0.006937419601759079
should,46,6,0.0006421352392651739,1557.304347826087,10.604835206080486,0.006809738392424233
water,46,5,0.0006421352392651739,1557.304347826087,10.604835206080486,0.006809738392424233
coming,46,6,0.0006421352392651739,1557.304347826087,10.604835206080486,0.006809738392424233
isnt,45,4,0.000628175777542018,1591.911111111111,10.636544065807824,0.006681619338898767
let,45,3,0.000628175777542018,1591.911111111111,10.636544065807824,0.006681619338898767
each,45,4,0.000628175777542018,1591.911111111111,10.636544065807824,0.006681619338898767
girl,44,4,0.0006142163158188621,1628.090909090909,10.668965543500201,0.006553052709727077
sure,44,4,0.0006142163158188621,1628.090909090909,10.668965543500201,0.006553052709727077
theyre,44,6,0.0006142163158188621,1628.090909090909,10.668965543500201,0.006553052709727077
bad,44,3,0.0006142163158188621,1628.090909090909,10.668965543500201,0.006553052709727077
before,43,6,0.000600256854095706,1665.9534883720933,10.7021324074354,0.006424028331002878
passed,43,6,0.000600256854095706,1665.9534883720933,10.7021324074354,0.006424028331002878
san,43,3,0.000600256854095706,1665.9534883720933,10.7021324074354,0.006424028331002878
gave,43,4,0.000600256854095706,1665.9534883720933,10.7021324074354,0.006424028331002878
eat,43,3,0.000600256854095706,1665.9534883720933,10.7021324074354,0.006424028331002878
bar,43,3,0.000600256854095706,1665.9534883720933,10.7021324074354,0.006424028331002878
called,42,6,0.0005862973923725501,1705.6190476190477,10.736079739358738,0.006294535555489795
told,42,4,0.0005862973923725501,1705.6190476190477,10.736079739358738,0.006294535555489795
great,42,5,0.0005862973923725501,1705.6190476190477,10.736079739358738,0.006294535555489795
behind,41,6,0.0005723379306493942,1747.219512195122,10.770845157519414,0.006164563228799709
toward,41,6,0.0005723379306493942,1747.219512195122,10.770845157519414,0.006164563228799709
things,41,6,0.0005723379306493942,1747.219512195122,10.770845157519414,0.006164563228799709
quite,41,5,0.0005723379306493942,1747.219512195122,10.770845157519414,0.006164563228799709
brought,41,7,0.0005723379306493942,1747.219512195122,10.770845157519414,0.006164563228799709
english,41,7,0.0005723379306493942,1747.219512195122,10.770845157519414,0.006164563228799709
standing,41,8,0.0005723379306493942,1747.219512195122,10.770845157519414,0.006164563228799709
country,41,7,0.0005723379306493942,1747.219512195122,10.770845157519414,0.006164563228799709
men,41,3,0.0005723379306493942,1747.219512195122,10.770845157519414,0.006164563228799709
friends,40,7,0.0005583784689262382,1790.8999999999999,10.806469067250136,0.006034099652269885
waiter,40,6,0.0005583784689262382,1790.8999999999999,10.806469067250136,0.006034099652269885
love,40,4,0.0005583784689262382,1790.8999999999999,10.806469067250136,0.006034099652269885
our,40,3,0.0005583784689262382,1790.8999999999999,10.806469067250136,0.006034099652269885
glass,40,5,0.0005583784689262382,1790.8999999999999,10.806469067250136,0.006034099652269885
front,40,5,0.0005583784689262382,1790.8999999999999,10.806469067250136,0.006034099652269885
smiled,39,6,0.0005444190072030823,1836.8205128205127,10.842994943275249,0.005903132542125953
nothing,39,7,0.0005444190072030823,1836.8205128205127,10.842994943275249,0.005903132542125953
better,38,6,0.0005304595454799263,1885.1578947368423,10.880469648693913,0.005771648984454306
last,38,4,0.0005304595454799263,1885.1578947368423,10.880469648693913,0.005771648984454306
paris,38,5,0.0005304595454799263,1885.1578947368423,10.880469648693913,0.005771648984454306
wouldnt,37,7,0.0005165000837567703,1936.1081081081081,10.918943796508549,0.005639635385432133
because,36,7,0.0005025406220336144,1989.888888888889,10.958472160695186,0.005507077416173805
talking,36,7,0.0005025406220336144,1989.888888888889,10.958472160695186,0.005507077416173805
sleep,36,5,0.0005025406220336144,1989.888888888889,10.958472160695186,0.005507077416173805
lunch,36,5,0.0005025406220336144,1989.888888888889,10.958472160695186,0.005507077416173805
seen,36,4,0.0005025406220336144,1989.888888888889,10.958472160695186,0.005507077416173805
coffee,35,6,0.0004885811603104585,2046.742857142857,10.999114145192532,0.005373959951445344
hands,35,5,0.0004885811603104585,2046.742857142857,10.999114145192532,0.005373959951445344
new,35,3,0.0004885811603104585,2046.742857142857,10.999114145192532,0.005373959951445344
doesnt,35,6,0.0004885811603104585,2046.742857142857,10.999114145192532,0.005373959951445344
inside,35,6,0.0004885811603104585,2046.742857142857,10.999114145192532,0.005373959951445344
eyes,35,4,0.0004885811603104585,2046.742857142857,10.999114145192532,0.005373959951445344
gone,34,4,0.0004746216985873025,2106.9411764705883,11.040934320887159,0.005240267001370308
glasses,34,7,0.0004746216985873025,2106.9411764705883,11.040934320887159,0.005240267001370308
ahead,34,5,0.0004746216985873025,2106.9411764705883,11.040934320887159,0.005240267001370308
sebastian,34,9,0.0004746216985873025,2106.9411764705883,11.040934320887159,0.005240267001370308
watched,34,7,0.0004746216985873025,2106.9411764705883,11.040934320887159,0.005240267001370308
wont,34,4,0.0004746216985873025,2106.9411764705883,11.040934320887159,0.005240267001370308
heard,33,5,0.00046066223686414654,2170.7878787878785,11.084003042779045,0.005105981635095602
bus,33,3,0.00046066223686414654,2170.7878787878785,11.084003042779045,0.005105981635095602
lot,33,3,0.00046066223686414654,2170.7878787878785,11.084003042779045,0.005105981635095602
remember,33,8,0.00046066223686414654,2170.7878787878785,11.084003042779045,0.005105981635095602
seemed,32,6,0.00044670277514099056,2238.625,11.128397162137498,0.0049710858951979445
lady,32,4,0.00044670277514099056,2238.625,11.128397162137498,0.0049710858951979445
knew,32,4,0.00044670277514099056,2238.625,11.128397162137498,0.0049710858951979445
together,32,8,0.00044670277514099056,2238.625,11.128397162137498,0.0049710858951979445
id,32,2,0.00044670277514099056,2238.625,11.128397162137498,0.0049710858951979445
tight,32,5,0.00044670277514099056,2238.625,11.128397162137498,0.0049710858951979445
still,32,5,0.00044670277514099056,2238.625,11.128397162137498,0.0049710858951979445
light,32,5,0.00044670277514099056,2238.625,11.128397162137498,0.0049710858951979445
harris,32,6,0.00044670277514099056,2238.625,11.128397162137498,0.0049710858951979445
place,31,5,0.00043274331341783463,2310.838709677419,11.174200851750623,0.004835560701382954
start,31,5,0.00043274331341783463,2310.838709677419,11.174200851750623,0.004835560701382954
same,31,4,0.00043274331341783463,2310.838709677419,11.174200851750623,0.004835560701382954
far,31,3,0.00043274331341783463,2310.838709677419,11.174200851750623,0.004835560701382954
ought,31,5,0.00043274331341783463,2310.838709677419,11.174200851750623,0.004835560701382954
whats,31,5,0.00043274331341783463,2310.838709677419,11.174200851750623,0.004835560701382954
wonderful,31,9,0.00043274331341783463,2310.838709677419,11.174200851750623,0.004835560701382954
stay,30,4,0.00041878385169467864,2387.866666666667,11.22150656652898,0.004699385741748135
train,30,5,0.00041878385169467864,2387.866666666667,11.22150656652898,0.004699385741748135
couldnt,30,7,0.00041878385169467864,2387.866666666667,11.22150656652898,0.004699385741748135
next,30,4,0.00041878385169467864,2387.866666666667,11.22150656652898,0.004699385741748135
friend,30,6,0.00041878385169467864,2387.866666666667,11.22150656652898,0.004699385741748135
shook,30,5,0.00041878385169467864,2387.866666666667,11.22150656652898,0.004699385741748135
matter,30,6,0.00041878385169467864,2387.866666666667,11.22150656652898,0.004699385741748135
close,30,5,0.00041878385169467864,2387.866666666667,11.22150656652898,0.004699385741748135
kept,29,4,0.0004048243899715227,2470.206896551724,11.270416167009927,0.004562539349534981
lovely,29,6,0.0004048243899715227,2470.206896551724,11.270416167009927,0.004562539349534981
taxi,29,4,0.0004048243899715227,2470.206896551724,11.270416167009927,0.004562539349534981
sort,29,4,0.0004048243899715227,2470.206896551724,11.270416167009927,0.004562539349534981
found,29,5,0.0004048243899715227,2470.206896551724,11.270416167009927,0.004562539349534981
mind,29,4,0.0004048243899715227,2470.206896551724,11.270416167009927,0.004562539349534981
dear,28,4,0.0003908649282483667,2558.4285714285716,11.321042240079894,0.0044249983628655565
paid,28,4,0.0003908649282483667,2558.4285714285716,11.321042240079894,0.0044249983628655565
sit,28,3,0.0003908649282483667,2558.4285714285716,11.321042240079894,0.0044249983628655565
belmonte,28,8,0.0003908649282483667,2558.4285714285716,11.321042240079894,0.0044249983628655565
everything,28,10,0.0003908649282483667,2558.4285714285716,11.321042240079894,0.0044249983628655565
try,28,3,0.0003908649282483667,2558.4285714285716,11.321042240079894,0.0044249983628655565
high,28,4,0.0003908649282483667,2558.4285714285716,11.321042240079894,0.0044249983628655565
cold,28,4,0.0003908649282483667,2558.4285714285716,11.321042240079894,0.0044249983628655565
bottles,28,7,0.0003908649282483667,2558.4285714285716,11.321042240079894,0.0044249983628655565
four,28,4,0.0003908649282483667,2558.4285714285716,11.321042240079894,0.0044249983628655565
open,28,4,0.0003908649282483667,2558.4285714285716,11.321042240079894,0.0044249983628655565
frances,28,7,0.0003908649282483667,2558.4285714285716,11.321042240079894,0.0044249983628655565
full,28,4,0.0003908649282483667,2558.4285714285716,11.321042240079894,0.0044249983628655565
hard,28,4,0.0003908649282483667,2558.4285714285716,11.321042240079894,0.0044249983628655565
fighter,28,7,0.0003908649282483667,2558.4285714285716,11.321042240079894,0.0044249983628655565
opened,28,6,0.0003908649282483667,2558.4285714285716,11.321042240079894,0.0044249983628655565
many,28,4,0.0003908649282483667,2558.4285714285716,11.321042240079894,0.0044249983628655565
dancing,27,7,0.0003769054665252108,2653.185185185185,11.37350965997403,0.004286737964421503
sun,27,3,0.0003769054665252108,2653.185185185185,11.37350965997403,0.004286737964421503
bridge,27,6,0.0003769054665252108,2653.185185185185,11.37350965997403,0.004286737964421503
bring,27,5,0.0003769054665252108,2653.185185185185,11.37350965997403,0.004286737964421503
own,27,3,0.0003769054665252108,2653.185185185185,11.37350965997403,0.004286737964421503
tables,27,6,0.0003769054665252108,2653.185185185185,11.37350965997403,0.004286737964421503
boy,27,3,0.0003769054665252108,2653.185185185185,11.37350965997403,0.004286737964421503
myself,27,6,0.0003769054665252108,2653.185185185185,11.37350965997403,0.004286737964421503
getting,27,7,0.0003769054665252108,2653.185185185185,11.37350965997403,0.004286737964421503
