,token_str,pos,n
558,for,IN,3
559,months,NNS,6
560,about,IN,5
561,leaving,VBG,7
562,his,PRP$,3
563,wife,NN,4
564,and,CC,3
565,had,VBD,3
566,not,RB,3
567,done,VBN,4
568,it,PRP,2
569,because,IN,7
570,it,PRP,2
571,would,MD,5
572,be,VB,2
573,too,RB,3
574,cruel,JJ,5
575,to,TO,2
576,deprive,VB,7
577,her,PRP$,3
578,of,IN,2
579,himself,PRP,7
581,her,PRP$,3
582,departure,NN,9
583,was,VBD,3
584,a,DT,1
585,very,RB,4
586,healthful,JJ,9
587,shock,NN,5
589,The,DT,3
590,divorce,NN,7
591,was,VBD,3
592,arranged,VBN,8
593,and,CC,3
594,Robert,NNP,6
595,Cohn,NNP,4
596,went,VBD,4
597,out,IN,3
598,to,TO,2
599,the,DT,3
600,Coast,NNP,5
602,In,IN,2
603,California,NNP,10
604,he,PRP,2
605,fell,VBD,4
606,among,IN,5
607,literary,JJ,8
608,people,NNS,6
609,and,CC,3
611,as,IN,2
612,he,PRP,2
613,still,RB,5
614,had,VBD,3
615,a,DT,1
616,little,JJ,6
617,of,IN,2
618,the,DT,3
619,fifty,JJ,5
620,thousand,NN,8
621,left,VBD,4
623,in,IN,2
624,a,DT,1
625,short,JJ,5
626,time,NN,4
627,he,PRP,2
628,was,VBD,3
629,backing,VBG,7
630,a,DT,1
631,review,NN,6
632,of,IN,2
633,the,DT,3
634,Arts,NNP,4
636,The,DT,3
637,review,NN,6
638,commenced,VBD,9
639,publication,NN,11
640,in,IN,2
641,Carmel,NNP,6
643,California,NNP,10
645,and,CC,3
646,finished,VBD,8
647,in,IN,2
648,Provincetown,NNP,12
650,Massachusetts,NNP,13
652,By,IN,2
653,that,DT,4
654,time,NN,4
655,Cohn,NNP,4
657,who,WP,3
658,had,VBD,3
659,been,VBN,4
660,regarded,VBN,8
661,purely,RB,6
662,as,IN,2
663,an,DT,2
664,angel,NN,5
666,and,CC,3
667,whose,WP$,5
668,name,NN,4
669,had,VBD,3
670,appeared,VBN,8
671,on,IN,2
672,the,DT,3
673,editorial,NN,9
674,page,NN,4
675,merely,RB,6
676,as,IN,2
677,a,DT,1
678,member,NN,6
679,of,IN,2
680,the,DT,3
681,advisory,JJ,8
682,board,NN,5
684,had,VBD,3
685,become,VBN,6
686,the,DT,3
687,sole,JJ,4
688,editor,NN,6
690,It,PRP,2
691,was,VBD,3
692,his,PRP$,3
693,money,NN,5
694,and,CC,3
695,he,PRP,2
696,discovered,VBD,10
697,he,PRP,2
698,liked,VBD,5
699,the,DT,3
700,authority,NN,9
701,of,IN,2
702,editing,VBG,7
704,He,PRP,2
705,was,VBD,3
706,sorry,JJ,5
707,when,WRB,4
708,the,DT,3
709,magazine,NN,8
710,became,VBD,6
711,too,RB,3
712,expensive,JJ,9
713,and,CC,3
714,he,PRP,2
715,had,VBD,3
716,to,TO,2
717,give,VB,4
718,it,PRP,2
719,up,RP,2
721,By,IN,2
722,that,DT,4
723,time,NN,4
725,though,RB,6
727,he,PRP,2
728,had,VBD,3
729,other,JJ,5
730,things,NNS,6
731,to,TO,2
732,worry,VB,5
733,about,RB,5
735,He,PRP,2
736,had,VBD,3
737,been,VBN,4
738,taken,VBN,5
739,in,IN,2
740,hand,NN,4
741,by,IN,2
742,a,DT,1
743,lady,NN,4
744,who,WP,3
745,hoped,VBD,5
746,to,TO,2
747,rise,VB,4
748,with,IN,4
749,the,DT,3
750,magazine,NN,8
752,She,PRP,3
753,was,VBD,3
754,very,RB,4
755,forceful,JJ,8
757,and,CC,3
758,Cohn,NNP,4
759,never,RB,5
760,had,VBD,3
761,a,DT,1
762,chance,NN,6
763,of,IN,2
764,not,RB,3
765,being,VBG,5
766,taken,VBN,5
767,in,IN,2
768,hand,NN,4
770,Also,RB,4
771,he,PRP,2
772,was,VBD,3
773,sure,JJ,4
774,that,IN,4
775,he,PRP,2
776,loved,VBD,5
777,her,PRP,3
779,When,WRB,4
780,this,DT,4
781,lady,NN,4
782,saw,VBD,3
783,that,IN,4
784,the,DT,3
785,magazine,NN,8
786,was,VBD,3
787,not,RB,3
788,going,VBG,5
789,to,TO,2
790,rise,VB,4
792,she,PRP,3
793,became,VBD,6
794,a,DT,1
795,little,JJ,6
796,disgusted,JJ,9
797,with,IN,4
798,Cohn,NNP,4
799,and,CC,3
800,decided,VBD,7
801,that,IN,4
802,she,PRP,3
803,might,MD,5
804,as,RB,2
805,well,RB,4
806,get,VB,3
807,what,WP,4
808,there,EX,5
809,was,VBD,3
810,to,TO,2
811,get,VB,3
812,while,IN,5
813,there,EX,5
814,was,VBD,3
815,still,RB,5
816,something,NN,9
817,available,JJ,9
819,so,IN,2
820,she,PRP,3
821,urged,VBD,5
822,that,IN,4
823,they,PRP,4
824,go,VBP,2
825,to,TO,2
826,Europe,NNP,6
828,where,WRB,5
829,Cohn,NNP,4
830,could,MD,5
831,write,VB,5
833,They,PRP,4
834,came,VBD,4
835,to,TO,2
836,Europe,NNP,6
838,where,WRB,5
839,the,DT,3
840,lady,NN,4
841,had,VBD,3
842,been,VBN,4
843,educated,VBN,8
845,and,CC,3
846,stayed,VBD,6
847,three,CD,5
848,years,NNS,5
850,During,IN,6
851,these,DT,5
852,three,CD,5
853,years,NNS,5
855,the,DT,3
856,first,JJ,5
857,spent,NN,5
858,in,IN,2
859,travel,NN,6
861,the,DT,3
862,last,JJ,4
863,two,CD,3
864,in,IN,2
865,Paris,NNP,5
867,Robert,NNP,6
868,Cohn,NNP,4
869,had,VBD,3
870,two,CD,3
871,friends,NNS,7
873,Braddocks,NNP,9
874,and,CC,3
875,myself,PRP,6
877,Braddocks,NNP,9
878,was,VBD,3
879,his,PRP$,3
880,literary,JJ,8
881,friend,NN,6
883,I,PRP,1
884,was,VBD,3
885,his,PRP$,3
886,tennis,NN,6
887,friend,NN,6
889,The,DT,3
890,lady,NN,4
891,who,WP,3
892,had,VBD,3
893,him,PRP,3
895,her,PRP$,3
896,name,NN,4
897,was,VBD,3
898,Frances,NNS,7
900,found,VBN,5
901,toward,IN,6
902,the,DT,3
903,end,NN,3
904,of,IN,2
905,the,DT,3
906,second,JJ,6
907,year,NN,4
908,that,IN,4
909,her,PRP$,3
910,looks,NNS,5
911,were,VBD,4
912,going,VBG,5
914,and,CC,3
915,her,PRP$,3
916,attitude,NN,8
917,toward,IN,6
918,Robert,NNP,6
919,changed,VBD,7
920,from,IN,4
921,one,CD,3
922,of,IN,2
923,careless,JJ,8
924,possession,NN,10
925,and,CC,3
926,exploitation,NN,12
927,to,TO,2
928,the,DT,3
929,absolute,JJ,8
930,determination,NN,13
931,that,IN,4
932,he,PRP,2
933,should,MD,6
934,marry,VB,5
935,her,PRP,3
937,During,IN,6
938,this,DT,4
939,time,NN,4
940,Robert,NNP,6
942,s,NN,1
943,mother,NN,6
944,had,VBD,3
945,settled,VBN,7
946,an,DT,2
947,allowance,NN,9
948,on,IN,2
949,him,PRP,3
951,about,RB,5
952,three,CD,5
953,hundred,VBD,7
954,dollars,NNS,7
955,a,DT,1
956,month,NN,5
958,During,IN,6
959,two,CD,3
960,years,NNS,5
961,and,CC,3
962,a,DT,1
963,half,NN,4
964,I,PRP,1
965,do,VBP,2
966,not,RB,3
967,believe,VB,7
968,that,IN,4
969,Robert,NNP,6
970,Cohn,NNP,4
971,looked,VBD,6
972,at,IN,2
